X,Y
0.02278321,1.940326
0.02350902,1.932134
0.02463134,1.919467
0.02603783,1.903592
0.02786384,1.882982
0.03007681,1.858005
0.03517402,1.800475
0.03843418,1.763678
0.04195471,1.723943
0.05096488,1.622248
0.05588498,1.566716
0.06723522,1.43861
0.07311754,1.372218
0.08594842,1.227399
0.09299148,1.147907
0.1061254,0.9996676
0.1134956,0.9164832
0.1208635,0.8333237
0.136232,0.6598634
0.1437129,0.5754292
0.1590382,0.402457
0.1663726,0.3196763
0.1807382,0.1575359
0.1880867,0.07459614
0.203431,-0.0985904
0.2107861,-0.181605
0.2181253,-0.264441
0.233226,-0.434878
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2405842,-0.5179276
0.2566558,-0.5178733
0.2692697,-0.5178307
0.2855229,-0.5177758
0.3345839,-0.51761
0.3636141,-0.5175119
0.4465435,-0.5172317
0.4890282,-0.5170881
0.5356334,-0.5169306
0.6307108,-0.5166094
0.6888598,-0.5164129
0.7506185,-0.5162042
0.9227189,-0.5156227
1.002266,-0.5153539
1.15674,-0.5148319
1.240234,-0.5145498
1.323939,-0.514267
1.470488,-0.5137718
1.554078,-0.5134893
1.737071,-0.512871
1.821416,-0.512586
1.904581,-0.512305
2.072145,-0.5117388
2.155644,-0.5114566
2.311148,-0.5109312
2.413172,-0.5105864
2.583497,-0.5100109
2.668121,-0.509725
2.749856,-0.5094488
2.9151,-0.5088904
2.998904,-0.5086072
3.175233,-0.5080114
3.260853,-0.5077221
3.419547,-0.5071859
3.502727,-0.5069048
3.587196,-0.5066194
3.753425,-0.5060577
3.837004,-0.5057753
3.993829,-0.5052454
4.080544,-0.5049524
4.234938,-0.5044307
4.318372,-0.5041487
4.401587,-0.5038676
4.401587,-0.5038676
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.317893,-4.253483
4.316303,-4.180034
4.314662,-4.104188
4.312957,-4.025448
4.31116,-3.942432
4.309351,-3.858852
4.307555,-3.775872
4.305756,-3.692761
4.303978,-3.610666
4.302173,-3.52726
4.298816,-3.372162
4.297,-3.288261
4.295203,-3.205265
4.291252,-3.022723
4.28941,-2.937613
4.285738,-2.767993
4.283912,-2.683607
4.282056,-2.597888
4.278316,-2.425068
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.27645,-2.338908
4.291527,-2.3384
4.304454,-2.337963
4.320191,-2.337432
4.340416,-2.33675
4.365164,-2.335915
4.394125,-2.334937
4.426216,-2.333854
4.462375,-2.332634
4.503457,-2.331248
4.591063,-2.328291
4.646002,-2.326437
4.757646,-2.322669
4.823028,-2.320462
4.961397,-2.315793
5.039789,-2.313147
5.194266,-2.307934
5.289017,-2.304736
5.375998,-2.301801
5.527526,-2.296687
5.611343,-2.293858
5.794295,-2.287684
5.794295,-2.287684
5.794295,-2.287684
5.794295,-2.287684
5.794295,-2.287684
5.794295,-2.287684
5.794295,-2.287684
5.794295,-2.287684
5.794295,-2.287684
5.794295,-2.287684
5.794295,-2.287684
5.794295,-2.287684
5.794295,-2.287684
5.794295,-2.287684
5.947545,-2.247227
6.032537,-2.224789
6.109563,-2.204455
6.189466,-2.183361
