X,Y
9.266381,6.481461
9.309203,6.73751
9.348739,6.973907
9.405124,7.311059
9.447733,7.565836
9.500741,7.882794
9.543316,8.137368
9.596028,8.452556
9.639665,8.713477
9.691734,9.024823
9.734547,9.280818
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.791141,9.619213
9.834093,9.558327
9.856419,9.52668
9.883942,9.487665
9.908879,9.452314
9.9718,9.363123
10.02886,9.282238
10.17111,9.080601
10.24719,8.972753
10.35259,8.823339
10.44286,8.695385
10.54758,8.546936
10.6623,8.384318
10.77718,8.22148
10.88144,8.073686
10.97296,7.943953
11.07772,7.795452
11.16969,7.665078
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.26132,7.535199
11.2896,7.306587
11.30453,7.185967
11.31482,7.102757
11.32507,7.019972
11.35567,6.772639
11.37526,6.614346
11.39757,6.434031
11.43694,6.115818
11.44722,6.032766
11.47581,5.801738
11.51777,5.462564
11.52795,5.380317
11.54959,5.205456
11.56916,5.047247
11.59144,4.86724
11.62085,4.629548
11.64334,4.447773
11.66497,4.272937
11.69472,4.03258
11.71427,3.87457
11.74366,3.637026
